id,nombre,nombre_kanji,role,anime_id,imagen_url,fecha_extraccion,popularidad,ranking,votos,categorias
1,,,MAIN,853,,2025-02-27 17:06:03,43,399,6571,Sin categoría
2,,,MAIN,853,,2025-03-02 15:25:53,3,470,7562,Sin categoría
13,Uchiha Sasuke,,MAIN,20,https://cdn.myanimelist.net/images/characters/9/131317.jpg?s=9705c17dba36c2edebded3a72dc1a46e,2025-03-30 21:11:15,18,304,8261,Sin categoría
14,Uchiha Itachi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/9/284122.jpg?s=11eac9672b208175831a0da62f188622,2025-03-30 21:11:15,23,419,2816,Sin categoría
17,Uzumaki Naruto,,MAIN,20,https://placeholder.com/no_image.jpg,2025-03-30 21:11:15,18,327,1310,Sin categoría
85,Hatake Kakashi,,MAIN,20,https://cdn.myanimelist.net/images/characters/7/284129.jpg?s=b0a6b941fd427cbfd85657f316c0e309,2025-03-30 21:11:15,96,108,1220,Sin categoría
145,Haruno Sakura,,MAIN,20,https://cdn.myanimelist.net/images/characters/9/69275.jpg?s=36c4ad9f4440d77918c34c49870e719c,12/6/2020,18,451,3446,Sin categoría
306,Lee Rock,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/433353.jpg?s=c2099a6532ecf14f4cf233c4cbd6532f,2025-03-30 21:11:15,72,490,6795,Sin categoría
307,Might Guy,,SUPPORTING,9460492,https://cdn.myanimelist.net/images/characters/16/103576.jpg?s=5da52d3d6d0b921506ffe65a8ff3288f,2025-03-30 21:11:15,94,180,5619,Sin categoría
728,Momochi Zabuza,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/103706.jpg?s=4550a5e0c0af5a9f355a000386954d38,2025-03-30 21:11:15,42,498,7513,Sin categoría
809,Mitarashi Anko,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/66177.jpg?s=dd1055043101c23d89c332873170f962,2025-03-30 21:11:15,71,492,7727,Sin categoría
1555,Hyuuga Hinata,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/6/278736.jpg?s=efc87a537d323edc47900cb08e1722c9,2025-03-30 21:11:15,96,109,8232,"Fantasía, Romance"
1662,Gaara,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/10/293375.jpg?s=ceeb8ed1578737104c8e347ab7a52101,2025-03-30 21:11:15,29,181,4989,Sin categoría
1694,Hyuuga Neji,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/2/105538.jpg?s=7603e3986722997b66259d9fea83a3b2,2025-03-30 21:11:15,95,4,7498,Sin categoría
1902,Deidara,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/9/131319.jpg?s=02bd30a045b2aaabf13e22a0149845e2,2025-03-30 21:11:15,99,56,6577,Sin categoría
2007,Nara Shikamaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/131315.jpg?s=a800fe970f638eae38b1e50d3471121d,2025-03-30 21:11:15,7,71,205,Sin categoría
2008,Akimichi Chouji,,SUPPORTING,20,https://placeholder.com/no_image.jpg,2025-03-30 21:11:15,61,261,5064,Sin categoría
2009,Yamanaka Ino,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/9/60062.jpg?s=bd8ff387569eebde9eb9af3d2a7feefc,20/9/2022,55,229,7263,Sin categoría
2011,Umino Iruka,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/10/100216.jpg?s=8ce41c2857b1d19260f46e114cc9d158,2025-03-30 21:11:15,2,120,4370,Sin categoría
2039,Haku,,SUPPORTING,0,https://cdn.myanimelist.net/images/characters/10/103707.jpg?s=6f30c87be8eabac48a20071677fd972c,2025-03-30 21:11:15,22,78,4132,Sin categoría
2174,Temari,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/292452.jpg?s=81c9799689a262a4df639b3dd5c48bc3,2025-03-30 21:11:15,8,443,9019,Sin categoría
2405,Yakushi Kabuto,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/82459.jpg?s=81d3435c2ca60c6acbea9da7bc7ba6c4,2025-03-30 21:11:15,45,75,6949,"Sci-Fi, Drama"
2423,Jiraiya,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/68618.jpg?s=ec35c8f49aa4cd7389bfc36d30cda3d7,2025-03-30 21:11:15,24,230,7885,Sin categoría
2455,Orochimaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/162089.jpg?s=77b65c6a4dfa133ef211d805af39d986,2025-03-30 21:11:15,57,430,2511,Sin categoría
2535,Namikaze Minato,,SUPPORTING,9779608,https://cdn.myanimelist.net/images/characters/14/128074.jpg?s=3c25d6b03a654401141036f32b6e9b8b,2025-03-30 21:11:15,10,451,7239,Sin categoría
2672,Hoshigaki Kisame,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/433351.jpg?s=46d6b63938f0ab6572f96798dd4fba85,2025-03-30 21:11:15,10,450,8016,Sin categoría
2766,Pakkun,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/54922.jpg?s=d5ad8c7e353fd173d020ef72fbadd3f3,2025-03-30 21:11:15,66,193,5934,Sin categoría
2767,Tsunade,,SUPPORTING,0,https://cdn.myanimelist.net/images/characters/12/523646.jpg?s=6e76b1e4adef34cd1698c91947542cc5,2025-03-30 21:11:15,74,13,2378,Sin categoría
2792,Hidan,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/103578.jpg?s=389d90926039f796c2095de3c61a8d62,2025-03-30 21:11:15,63,367,4809,Sin categoría
3052,Tayuya,,SUPPORTING,0,https://cdn.myanimelist.net/images/characters/10/295205.jpg?s=cfb4d415aa30d426753c0aa1c14cbc2e,2025-03-30 21:11:15,1,499,9259,Sin categoría
3150,Zetsu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/76260.jpg?s=f677ce2557f67393a92943f4b21270ab,2025-03-30 21:11:15,73,313,342,Sin categoría
3178,Kakuzu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/255727.jpg?s=5c401401ec96dc333b18486cef42c242,2025-03-30 21:11:15,63,388,9749,Sin categoría
3179,Konan,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/158755.jpg?s=511521e3840779df9fba75ea5a4b9b52,2025-03-30 21:11:15,59,24,5631,Sin categoría
3180,Pain,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/73473.jpg?s=5c41288db6aa7a2339a4ff90ea211d49,2025-03-30 21:11:15,14,302,5739,Sin categoría
3428,Aburame Shino,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/292449.jpg?s=f7b8f2084a65d22cd9381f25a55f8b2f,2025-03-30 21:11:15,46,67,5298,Sin categoría
3438,Kimimaro,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/103598.jpg?s=08ed0fcffe945f96b93afd9f48bd18b5,2025-03-30 21:11:15,98,290,7465,Sin categoría
3495,Inuzuka Kiba,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/131217.jpg?s=d3bc94609e7a552ec522daf99834c21a,2025-03-30 21:11:15,18,74,1588,Sin categoría
3710,Tenten,,DESCONOCIDO,20,https://cdn.myanimelist.net/images/characters/16/110946.jpg?s=babf65fba5bfda45c8c6dc400669b6cb,2025-03-30 21:11:15,78,404,6389,Sin categoría
3735,Shiranui Genma,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/104664.jpg?s=c798fbee0f73d81fe48f11306ce056bc,2025-03-30 21:11:15,12,471,2165,Sin categoría
3889,Sarutobi Konohamaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/109419.jpg?s=818d5a433ba71a276feb67578ccf711a,2025-03-30 21:11:15,92,235,6796,Sin categoría
4223,Gamabunta,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/6/70846.jpg?s=6516b681e86fa72587edc431286fdcc2,2025-03-30 21:11:15,26,471,722,Sin categoría
4643,Shizune,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/103794.jpg?s=34f7e533eadf02840c039b3bc4f40f06,2025-03-30 21:11:15,58,181,3401,Sin categoría
4694,Kankurou,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/68615.jpg?s=6f6d40205ea049c4a579e6a2d756daa0,2025-03-30 21:11:15,60,356,6384,Sin categoría
4773,Yuuhi Kurenai,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/103797.jpg?s=01189fc7f8a526c4fd60ecb124f7065f,2025-03-30 21:11:15,22,254,8201,Sin categoría
